issue_name,issue_description,issue_remediation,issue_severity,issue_dynamic_desc,findings,bug_hash,bug_id,bug_status,comment,audit_type
ARRAY LENGTH CACHING,"During each iteration of the loop, reading the length of the array uses more gas than is necessary. In the most favorable scenario, in which the length is read from a memory variable, storing the array length in the stack can save about 3 gas per iteration. In the least favorable scenario, in which external calls are made during each iteration, the amount of gas wasted can be significant.
The following array was detected to be used inside loop without caching it's value in memory: recipients.",Consider storing the array length of the variable before the loop and use the stored length instead of fetching it in each iteration.,gas,,"[{'file_path': 'contract.sol', 'line_nos_end': [967], 'line_nos_start': [963]}]",7Rxa8Whqm4Y_RuV7bhiUetSN6j4=,SSB_4236989_32,pending_fix,,automated
AVOID RE-STORING VALUES,"The function is found to be allowing re-storing the value in the contract's state variable even when the old value is equal to the new value. This practice results in unnecessary gas consumption due to the Gsreset operation (2900 gas), which could be avoided. If the old value and the new value are the same, not updating the storage would avoid this cost and could instead incur a Gcoldsload (2100 gas) or a Gwarmaccess (100 gas), potentially saving gas.","To optimize gas usage, add a check to compare the old value with the new value before updating the storage. Only perform the storage update if the new value is different from the old value. This approach will prevent unnecessary storage writes and reduce gas consumption.",gas,,"[{'file_path': 'contract.sol', 'line_nos_end': [720], 'line_nos_start': [716]}]",Jwnd16hs522Kw-TayiR3mgHvG7Y=,SSB_4236989_23,pending_fix,,automated
AVOID RE-STORING VALUES,"The function is found to be allowing re-storing the value in the contract's state variable even when the old value is equal to the new value. This practice results in unnecessary gas consumption due to the Gsreset operation (2900 gas), which could be avoided. If the old value and the new value are the same, not updating the storage would avoid this cost and could instead incur a Gcoldsload (2100 gas) or a Gwarmaccess (100 gas), potentially saving gas.","To optimize gas usage, add a check to compare the old value with the new value before updating the storage. Only perform the storage update if the new value is different from the old value. This approach will prevent unnecessary storage writes and reduce gas consumption.",gas,,"[{'file_path': 'contract.sol', 'line_nos_end': [720], 'line_nos_start': [716]}]",Jwnd16hs522Kw-TayiR3mgHvG7Y=,SSB_4236989_23,pending_fix,,automated
AVOID ZERO-TO-ONE STORAGE WRITES,"
Writing a storage variable from zero to a non-zero value costs 22,100 gas (20,000 for the write and 2,100 for cold access), making it one of the most expensive operations. This is why patterns like OpenZeppelin’s ReentrancyGuard use 1 and 2 instead of 0 and 1—to avoid the high cost of zero-to-non-zero writes. Non-zero to non-zero updates cost only 5,000 gas.

","To mitigate this gas inefficiency, consider initializing storage variables to non-zero values during contract deployment if possible. Alternatively, design contract logic to minimize the number of times storage variables are set from zero to non-zero values. This can be achieved by setting default non-zero values where applicable or by batching storage updates to reduce the frequency of costly initializations.",gas,,"[{'file_path': 'contract.sol', 'line_nos_end': [933], 'line_nos_start': [933]}]",9onxfx1XEbnQfjhHxNIucHTNFbs=,SSB_4236989_3,pending_fix,,automated
BLOCK VALUES AS A PROXY FOR TIME,,,informational,,[],mUPLqDh-ACJgZiXoPTDps1c7A90=,SSB_4236989_58,pending_fix,,automated
BLOCK VALUES AS A PROXY FOR TIME,,,informational,,[],mUPLqDh-ACJgZiXoPTDps1c7A90=,SSB_4236989_58,pending_fix,,automated
CHEAPER INEQUALITIES IN IF(),"The contract was found to be doing comparisons using inequalities inside the if statement.When inside the if statements, non-strict inequalities (>=, <=) are usually cheaper than the strict equalities (>, <)."," It is recommended to go through the code logic, and, if possible, modify the strict inequalities with the non-strict ones to save ~3 gas as long as the logic of the code is not affected.",gas,,"[{'file_path': 'contract.sol', 'line_nos_end': [610], 'line_nos_start': [610]}]",4w6nIkHZEVU6Len6PeAhDp6923E=,SSB_4236989_59,pending_fix,,automated
CHEAPER INEQUALITIES IN REQUIRE(),"The contract was found to be performing comparisons using inequalities inside the require statement. When inside the require statements, non-strict inequalities (>=, <=) are usually costlier than strict equalities (>, <).","It is recommended to go through the code logic, and, if possible, modify the non-strict inequalities with the strict ones to save ~3 gas as long as the logic of the code is not affected.",gas,,"[{'file_path': 'contract.sol', 'line_nos_end': [961], 'line_nos_start': [961]}]",-dS8hLX5vYui0TY3Cs65tARieIQ=,SSB_4236989_61,pending_fix,,automated
CHEAPER INEQUALITIES IN REQUIRE(),"The contract was found to be performing comparisons using inequalities inside the require statement. When inside the require statements, non-strict inequalities (>=, <=) are usually costlier than strict equalities (>, <).","It is recommended to go through the code logic, and, if possible, modify the non-strict inequalities with the strict ones to save ~3 gas as long as the logic of the code is not affected.",gas,,"[{'file_path': 'contract.sol', 'line_nos_end': [961], 'line_nos_start': [961]}]",-dS8hLX5vYui0TY3Cs65tARieIQ=,SSB_4236989_61,pending_fix,,automated
CONSTRUCTORS SHOULD EMIT AN EVENT,,,informational,,[],UFnkYTej4hlAaAF6rrMFv7r84cs=,SSB_4236989_37,pending_fix,,automated
